year,gennme,prodnme,state,halfyear,totalRX
2011,Formoterol Fumarate,FORADIL AEROLIZER,CA,2,469
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CA,2,4614
2011,Formoterol Fumarate,PERFOROMIST,CA,2,87
2011,Arformoterol Tartrate,BROVANA,CO,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CO,1,2756
2011,Roflumilast,DALIRESP,CO,1,10
2011,Formoterol Fumarate,FORADIL AEROLIZER,CO,1,53
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CO,1,2287
2011,Formoterol Fumarate,PERFOROMIST,CO,1,73
2011,Arformoterol Tartrate,BROVANA,CO,2,43
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CO,2,2784
2011,Roflumilast,DALIRESP,CO,2,37
2011,Formoterol Fumarate,FORADIL AEROLIZER,CO,2,50
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CO,2,2487
2011,Formoterol Fumarate,PERFOROMIST,CO,2,48
2011,Arformoterol Tartrate,BROVANA,CT,1,328
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CT,1,3278
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CT,1,576
2011,Formoterol Fumarate,FORADIL AEROLIZER,CT,1,107
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CT,1,5322
2011,Formoterol Fumarate,PERFOROMIST,CT,1,183
2011,Arformoterol Tartrate,BROVANA,CT,2,287
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CT,2,3309
2011,Roflumilast,DALIRESP,CT,2,90
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CT,2,355
2011,Formoterol Fumarate,FORADIL AEROLIZER,CT,2,116
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CT,2,4718
2011,Formoterol Fumarate,PERFOROMIST,CT,2,182
2011,Arformoterol Tartrate,BROVANA,DC,1,30
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DC,1,1119
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DC,1,10
2011,Formoterol Fumarate,FORADIL AEROLIZER,DC,1,163
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DC,1,109
2011,Arformoterol Tartrate,BROVANA,DC,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DC,2,2177
2011,Roflumilast,DALIRESP,DC,2,19
2011,Formoterol Fumarate,FORADIL AEROLIZER,DC,2,309
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DC,2,154
2011,Formoterol Fumarate,PERFOROMIST,DC,2,20
2011,Arformoterol Tartrate,BROVANA,DE,1,20
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DE,1,1199
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DE,1,30
2011,Formoterol Fumarate,FORADIL AEROLIZER,DE,1,49
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DE,1,239
2011,Formoterol Fumarate,PERFOROMIST,DE,1,20
2011,Arformoterol Tartrate,BROVANA,DE,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DE,2,1158
2011,Roflumilast,DALIRESP,DE,2,14
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DE,2,20
2011,Formoterol Fumarate,FORADIL AEROLIZER,DE,2,51
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DE,2,203
2011,Formoterol Fumarate,PERFOROMIST,DE,2,20
2011,Arformoterol Tartrate,BROVANA,FL,1,261
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,FL,1,23035
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,FL,1,30
2011,Formoterol Fumarate,FORADIL AEROLIZER,FL,1,269
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,FL,1,5404
2011,Formoterol Fumarate,PERFOROMIST,FL,1,207
2011,Arformoterol Tartrate,BROVANA,FL,2,152
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,FL,2,22595
2011,Roflumilast,DALIRESP,FL,2,270
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,FL,2,30
2011,Formoterol Fumarate,FORADIL AEROLIZER,FL,2,256
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,FL,2,4528
2011,Formoterol Fumarate,PERFOROMIST,FL,2,135
2011,Arformoterol Tartrate,BROVANA,GA,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,GA,1,11016
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,GA,1,20
2011,Formoterol Fumarate,FORADIL AEROLIZER,GA,1,242
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,GA,1,1767
2011,Formoterol Fumarate,PERFOROMIST,GA,1,29
2011,Arformoterol Tartrate,BROVANA,GA,2,52
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,GA,2,12927
2011,Roflumilast,DALIRESP,GA,2,38
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,GA,2,50
2011,Formoterol Fumarate,FORADIL AEROLIZER,GA,2,303
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,GA,2,2407
2011,Formoterol Fumarate,PERFOROMIST,GA,2,26
2011,Arformoterol Tartrate,BROVANA,HI,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,HI,1,1652
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,HI,1,20
2011,Formoterol Fumarate,FORADIL AEROLIZER,HI,1,20
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,HI,1,719
2011,Formoterol Fumarate,PERFOROMIST,HI,1,20
2011,Arformoterol Tartrate,BROVANA,HI,2,40
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,HI,2,1637
2011,Roflumilast,DALIRESP,HI,2,38
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,HI,2,20
2011,Formoterol Fumarate,FORADIL AEROLIZER,HI,2,10
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,HI,2,690
2011,Formoterol Fumarate,PERFOROMIST,HI,2,20
2011,Arformoterol Tartrate,BROVANA,IA,1,565
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IA,1,2937
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IA,1,111
2011,Formoterol Fumarate,FORADIL AEROLIZER,IA,1,20
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IA,1,5740
2011,Formoterol Fumarate,PERFOROMIST,IA,1,87
2011,Arformoterol Tartrate,BROVANA,IA,2,432
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IA,2,2935
2011,Roflumilast,DALIRESP,IA,2,32
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IA,2,81
2011,Formoterol Fumarate,FORADIL AEROLIZER,IA,2,26
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IA,2,4934
2011,Formoterol Fumarate,PERFOROMIST,IA,2,100
2011,Arformoterol Tartrate,BROVANA,ID,1,45
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,ID,1,1628
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,ID,1,95
2011,Formoterol Fumarate,FORADIL AEROLIZER,ID,1,84
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ID,1,1064
2011,Formoterol Fumarate,PERFOROMIST,ID,1,70
2011,Arformoterol Tartrate,BROVANA,ID,2,120
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,ID,2,1638
2011,Roflumilast,DALIRESP,ID,2,26
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,ID,2,75
2011,Formoterol Fumarate,FORADIL AEROLIZER,ID,2,80
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ID,2,1314
2011,Formoterol Fumarate,PERFOROMIST,ID,2,103
2011,Arformoterol Tartrate,BROVANA,IL,1,320
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IL,1,15698
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IL,1,51
2011,Formoterol Fumarate,FORADIL AEROLIZER,IL,1,230
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IL,1,2467
2011,Formoterol Fumarate,PERFOROMIST,IL,1,160
2011,Arformoterol Tartrate,BROVANA,IL,2,173
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IL,2,6218
2011,Roflumilast,DALIRESP,IL,2,10
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IL,2,43
2011,Formoterol Fumarate,FORADIL AEROLIZER,IL,2,53
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IL,2,1583
2011,Formoterol Fumarate,PERFOROMIST,IL,2,70
2011,Arformoterol Tartrate,BROVANA,IN,1,476
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IN,1,8976
2011,Roflumilast,DALIRESP,IN,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IN,1,20
2011,Formoterol Fumarate,FORADIL AEROLIZER,IN,1,248
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IN,1,4206
2011,Formoterol Fumarate,PERFOROMIST,IN,1,320
2011,Arformoterol Tartrate,BROVANA,IN,2,418
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IN,2,7788
2011,Roflumilast,DALIRESP,IN,2,291
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IN,2,10
2011,Formoterol Fumarate,FORADIL AEROLIZER,IN,2,315
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IN,2,3760
2011,Formoterol Fumarate,PERFOROMIST,IN,2,301
2011,Arformoterol Tartrate,BROVANA,KS,1,418
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,KS,1,2196
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KS,1,46
2011,Formoterol Fumarate,FORADIL AEROLIZER,KS,1,67
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KS,1,2712
2011,Formoterol Fumarate,PERFOROMIST,KS,1,153
2011,Arformoterol Tartrate,BROVANA,KS,2,528
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,KS,2,2184
2011,Roflumilast,DALIRESP,KS,2,80
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KS,2,46
2011,Formoterol Fumarate,FORADIL AEROLIZER,KS,2,68
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KS,2,2644
2011,Formoterol Fumarate,PERFOROMIST,KS,2,181
2011,Arformoterol Tartrate,BROVANA,KY,1,146
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,KY,1,13953
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KY,1,90
2011,Formoterol Fumarate,FORADIL AEROLIZER,KY,1,239
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KY,1,7090
2011,Formoterol Fumarate,PERFOROMIST,KY,1,59
2011,Arformoterol Tartrate,BROVANA,KY,2,150
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,KY,2,14777
2011,Roflumilast,DALIRESP,KY,2,251
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KY,2,88
2011,Formoterol Fumarate,FORADIL AEROLIZER,KY,2,224
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KY,2,6876
2011,Formoterol Fumarate,PERFOROMIST,KY,2,46
2011,Arformoterol Tartrate,BROVANA,LA,1,188
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,LA,1,5935
2011,Roflumilast,DALIRESP,LA,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,LA,1,88
2011,Formoterol Fumarate,FORADIL AEROLIZER,LA,1,133
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,LA,1,2163
2011,Formoterol Fumarate,PERFOROMIST,LA,1,75
2011,Arformoterol Tartrate,BROVANA,LA,2,178
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,LA,2,5784
2011,Roflumilast,DALIRESP,LA,2,462
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,LA,2,88
2011,Formoterol Fumarate,FORADIL AEROLIZER,LA,2,117
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,LA,2,2164
2011,Formoterol Fumarate,PERFOROMIST,LA,2,55
2011,Arformoterol Tartrate,BROVANA,MA,1,126
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MA,1,8750
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MA,1,40
2011,Formoterol Fumarate,FORADIL AEROLIZER,MA,1,193
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MA,1,5078
2011,Formoterol Fumarate,PERFOROMIST,MA,1,119
2011,Arformoterol Tartrate,BROVANA,MA,2,146
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MA,2,8141
2011,Roflumilast,DALIRESP,MA,2,41
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MA,2,81
2011,Formoterol Fumarate,FORADIL AEROLIZER,MA,2,210
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MA,2,4872
2011,Formoterol Fumarate,PERFOROMIST,MA,2,146
2011,Arformoterol Tartrate,BROVANA,MD,1,70
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MD,1,7745
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MD,1,435
2011,Formoterol Fumarate,FORADIL AEROLIZER,MD,1,261
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MD,1,2970
2011,Formoterol Fumarate,PERFOROMIST,MD,1,20
2011,Arformoterol Tartrate,BROVANA,MD,2,58
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MD,2,7665
2011,Roflumilast,DALIRESP,MD,2,50
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MD,2,785
2011,Formoterol Fumarate,FORADIL AEROLIZER,MD,2,258
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MD,2,3232
2011,Formoterol Fumarate,PERFOROMIST,MD,2,40
2011,Arformoterol Tartrate,BROVANA,ME,1,63
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,ME,1,3864
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,ME,1,40
2011,Formoterol Fumarate,FORADIL AEROLIZER,ME,1,118
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ME,1,2888
2011,Formoterol Fumarate,PERFOROMIST,ME,1,44
2011,Arformoterol Tartrate,BROVANA,ME,2,74
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,ME,2,3971
2011,Roflumilast,DALIRESP,ME,2,32
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,ME,2,40
2011,Formoterol Fumarate,FORADIL AEROLIZER,ME,2,96
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ME,2,3116
2011,Formoterol Fumarate,PERFOROMIST,ME,2,36
2011,Arformoterol Tartrate,BROVANA,MI,1,249
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MI,1,10328
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MI,1,73
2011,Formoterol Fumarate,FORADIL AEROLIZER,MI,1,269
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MI,1,3154
2011,Formoterol Fumarate,PERFOROMIST,MI,1,104
2011,Arformoterol Tartrate,BROVANA,MI,2,224
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MI,2,10017
2011,Roflumilast,DALIRESP,MI,2,54
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MI,2,82
2011,Formoterol Fumarate,FORADIL AEROLIZER,MI,2,316
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MI,2,3970
2011,Formoterol Fumarate,PERFOROMIST,MI,2,120
2011,Arformoterol Tartrate,BROVANA,MN,1,224
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MN,1,3420
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MN,1,80
2011,Formoterol Fumarate,FORADIL AEROLIZER,MN,1,84
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MN,1,7109
2011,Formoterol Fumarate,PERFOROMIST,MN,1,78
2011,Arformoterol Tartrate,BROVANA,MN,2,319
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MN,2,4545
2011,Roflumilast,DALIRESP,MN,2,30
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MN,2,89
2011,Formoterol Fumarate,FORADIL AEROLIZER,MN,2,142
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MN,2,8996
2011,Formoterol Fumarate,PERFOROMIST,MN,2,121
2011,Arformoterol Tartrate,BROVANA,MO,1,376
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MO,1,14735
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MO,1,82
2011,Formoterol Fumarate,FORADIL AEROLIZER,MO,1,280
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MO,1,7341
2011,Formoterol Fumarate,PERFOROMIST,MO,1,1291
2011,Arformoterol Tartrate,BROVANA,MO,2,397
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MO,2,14779
2011,Roflumilast,DALIRESP,MO,2,276
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MO,2,48
2011,Formoterol Fumarate,FORADIL AEROLIZER,MO,2,248
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MO,2,7434
2011,Formoterol Fumarate,PERFOROMIST,MO,2,1494
2011,Arformoterol Tartrate,BROVANA,MS,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MS,1,1416
2011,Formoterol Fumarate,FORADIL AEROLIZER,MS,1,54
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MS,1,200
2011,Formoterol Fumarate,PERFOROMIST,MS,1,20
2011,Arformoterol Tartrate,BROVANA,MS,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MS,2,3001
2011,Roflumilast,DALIRESP,MS,2,20
2011,Formoterol Fumarate,FORADIL AEROLIZER,MS,2,85
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MS,2,678
2011,Formoterol Fumarate,PERFOROMIST,MS,2,20
2011,Arformoterol Tartrate,BROVANA,MT,1,49
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MT,1,1002
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MT,1,20
2011,Formoterol Fumarate,FORADIL AEROLIZER,MT,1,20
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MT,1,1654
2011,Formoterol Fumarate,PERFOROMIST,MT,1,20
2011,Arformoterol Tartrate,BROVANA,MT,2,100
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,MT,2,1053
2011,Roflumilast,DALIRESP,MT,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,MT,2,30
2011,Formoterol Fumarate,FORADIL AEROLIZER,MT,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,MT,2,1525
2011,Formoterol Fumarate,PERFOROMIST,MT,2,20
2011,Arformoterol Tartrate,BROVANA,NC,1,623
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,NC,1,11637
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,NC,1,122
2011,Formoterol Fumarate,FORADIL AEROLIZER,NC,1,226
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,NC,1,3525
2011,Formoterol Fumarate,PERFOROMIST,NC,1,347
2011,Arformoterol Tartrate,BROVANA,NC,2,522
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,NC,2,11348
2011,Roflumilast,DALIRESP,NC,2,145
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,NC,2,269
2011,Formoterol Fumarate,FORADIL AEROLIZER,NC,2,226
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,NC,2,2545
2011,Formoterol Fumarate,PERFOROMIST,NC,2,361
2011,Arformoterol Tartrate,BROVANA,NE,1,230
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,NE,1,1373
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,NE,1,132
2011,Formoterol Fumarate,FORADIL AEROLIZER,NE,1,30
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,NE,1,1157
2011,Formoterol Fumarate,PERFOROMIST,NE,1,38
2011,Arformoterol Tartrate,BROVANA,NE,2,284
