year,gennme,state,halfyear,totalRX
2011,Albuterol Sulfate/Ipratropium Bromide,MI,2,14069
2011,Arformoterol Tartrate,MI,2,224
2011,Formoterol Fumarate,MI,2,436
2011,Roflumilast,MI,2,54
2011,Albuterol Sulfate/Ipratropium Bromide,MN,1,10609
2011,Arformoterol Tartrate,MN,1,224
2011,Formoterol Fumarate,MN,1,162
2011,Albuterol Sulfate/Ipratropium Bromide,MN,2,13630
2011,Arformoterol Tartrate,MN,2,319
2011,Formoterol Fumarate,MN,2,263
2011,Roflumilast,MN,2,30
2011,Albuterol Sulfate/Ipratropium Bromide,MO,1,22158
2011,Arformoterol Tartrate,MO,1,376
2011,Formoterol Fumarate,MO,1,1571
2011,Albuterol Sulfate/Ipratropium Bromide,MO,2,22261
2011,Arformoterol Tartrate,MO,2,397
2011,Formoterol Fumarate,MO,2,1742
2011,Roflumilast,MO,2,276
2011,Albuterol Sulfate/Ipratropium Bromide,MS,1,1616
2011,Arformoterol Tartrate,MS,1,10
2011,Formoterol Fumarate,MS,1,74
2011,Albuterol Sulfate/Ipratropium Bromide,MS,2,3679
2011,Arformoterol Tartrate,MS,2,20
2011,Formoterol Fumarate,MS,2,105
2011,Roflumilast,MS,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,MT,1,2676
2011,Arformoterol Tartrate,MT,1,49
2011,Formoterol Fumarate,MT,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,MT,2,2608
2011,Arformoterol Tartrate,MT,2,100
2011,Formoterol Fumarate,MT,2,40
2011,Roflumilast,MT,2,20
2011,Albuterol Sulfate/Ipratropium Bromide,NC,1,15284
2011,Arformoterol Tartrate,NC,1,623
2011,Formoterol Fumarate,NC,1,573
2011,Albuterol Sulfate/Ipratropium Bromide,NC,2,14162
2011,Arformoterol Tartrate,NC,2,522
2011,Formoterol Fumarate,NC,2,587
2011,Roflumilast,NC,2,145
2011,Albuterol Sulfate/Ipratropium Bromide,NE,1,2662
2011,Arformoterol Tartrate,NE,1,230
2011,Formoterol Fumarate,NE,1,68
2011,Albuterol Sulfate/Ipratropium Bromide,NE,2,3096
2011,Arformoterol Tartrate,NE,2,284
2011,Formoterol Fumarate,NE,2,47
2011,Roflumilast,NE,2,10
2011,Albuterol Sulfate/Ipratropium Bromide,NH,1,3692
2011,Arformoterol Tartrate,NH,1,48
2011,Formoterol Fumarate,NH,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,NH,2,3496
2011,Arformoterol Tartrate,NH,2,54
2011,Formoterol Fumarate,NH,2,20
2011,Roflumilast,NH,2,10
2011,Albuterol Sulfate/Ipratropium Bromide,NJ,1,7391
2011,Arformoterol Tartrate,NJ,1,251
2011,Formoterol Fumarate,NJ,1,419
2011,Albuterol Sulfate/Ipratropium Bromide,NJ,2,6671
2011,Arformoterol Tartrate,NJ,2,182
2011,Formoterol Fumarate,NJ,2,389
2011,Roflumilast,NJ,2,171
2011,Albuterol Sulfate/Ipratropium Bromide,NM,1,2802
2011,Formoterol Fumarate,NM,1,56
2011,Albuterol Sulfate/Ipratropium Bromide,NM,2,2052
2011,Formoterol Fumarate,NM,2,61
2011,Albuterol Sulfate/Ipratropium Bromide,NV,1,2477
2011,Arformoterol Tartrate,NV,1,30
2011,Formoterol Fumarate,NV,1,125
2011,Albuterol Sulfate/Ipratropium Bromide,NV,2,2334
2011,Arformoterol Tartrate,NV,2,20
2011,Formoterol Fumarate,NV,2,102
2011,Roflumilast,NV,2,108
2011,Albuterol Sulfate/Ipratropium Bromide,NY,1,34361
2011,Arformoterol Tartrate,NY,1,1235
2011,Formoterol Fumarate,NY,1,1623
2011,Roflumilast,NY,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,NY,2,34710
2011,Arformoterol Tartrate,NY,2,908
2011,Formoterol Fumarate,NY,2,1634
2011,Roflumilast,NY,2,908
2011,Albuterol Sulfate/Ipratropium Bromide,OH,1,29210
2011,Arformoterol Tartrate,OH,1,289
2011,Formoterol Fumarate,OH,1,1012
2011,Albuterol Sulfate/Ipratropium Bromide,OH,2,20915
2011,Arformoterol Tartrate,OH,2,215
2011,Formoterol Fumarate,OH,2,797
2011,Roflumilast,OH,2,366
2011,Albuterol Sulfate/Ipratropium Bromide,OK,1,7034
2011,Arformoterol Tartrate,OK,1,129
2011,Formoterol Fumarate,OK,1,229
2011,Roflumilast,OK,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,OK,2,7145
2011,Arformoterol Tartrate,OK,2,159
2011,Formoterol Fumarate,OK,2,205
2011,Roflumilast,OK,2,37
2011,Albuterol Sulfate/Ipratropium Bromide,OR,1,10629
2011,Arformoterol Tartrate,OR,1,95
2011,Formoterol Fumarate,OR,1,174
2011,Albuterol Sulfate/Ipratropium Bromide,OR,2,10084
2011,Arformoterol Tartrate,OR,2,80
2011,Formoterol Fumarate,OR,2,176
2011,Roflumilast,OR,2,30
2011,Albuterol Sulfate/Ipratropium Bromide,PA,1,26084
2011,Arformoterol Tartrate,PA,1,490
2011,Formoterol Fumarate,PA,1,440
2011,Albuterol Sulfate/Ipratropium Bromide,PA,2,22419
2011,Arformoterol Tartrate,PA,2,542
2011,Formoterol Fumarate,PA,2,294
2011,Roflumilast,PA,2,68
2011,Albuterol Sulfate/Ipratropium Bromide,RI,1,635
2011,Formoterol Fumarate,RI,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,RI,2,506
2011,Formoterol Fumarate,RI,2,40
2011,Roflumilast,RI,2,10
2011,Albuterol Sulfate/Ipratropium Bromide,SC,1,6445
2011,Arformoterol Tartrate,SC,1,93
2011,Formoterol Fumarate,SC,1,105
2011,Albuterol Sulfate/Ipratropium Bromide,SC,2,6593
2011,Arformoterol Tartrate,SC,2,101
2011,Formoterol Fumarate,SC,2,101
2011,Roflumilast,SC,2,50
2011,Albuterol Sulfate/Ipratropium Bromide,SD,1,928
2011,Arformoterol Tartrate,SD,1,48
2011,Formoterol Fumarate,SD,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,SD,2,964
2011,Arformoterol Tartrate,SD,2,66
2011,Formoterol Fumarate,SD,2,40
2011,Roflumilast,SD,2,10
2011,Albuterol Sulfate/Ipratropium Bromide,TN,1,12773
2011,Arformoterol Tartrate,TN,1,142
2011,Formoterol Fumarate,TN,1,558
2011,Albuterol Sulfate/Ipratropium Bromide,TN,2,12918
2011,Arformoterol Tartrate,TN,2,200
2011,Formoterol Fumarate,TN,2,631
2011,Roflumilast,TN,2,33
2011,Albuterol Sulfate/Ipratropium Bromide,TX,1,22011
2011,Arformoterol Tartrate,TX,1,411
2011,Formoterol Fumarate,TX,1,1310
2011,Roflumilast,TX,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,TX,2,15931
2011,Arformoterol Tartrate,TX,2,438
2011,Formoterol Fumarate,TX,2,981
2011,Roflumilast,TX,2,518
2011,Albuterol Sulfate/Ipratropium Bromide,UT,1,2359
2011,Arformoterol Tartrate,UT,1,36
2011,Formoterol Fumarate,UT,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,UT,2,1786
2011,Arformoterol Tartrate,UT,2,30
2011,Formoterol Fumarate,UT,2,30
2011,Roflumilast,UT,2,46
2011,Albuterol Sulfate/Ipratropium Bromide,VA,1,12707
2011,Arformoterol Tartrate,VA,1,534
2011,Formoterol Fumarate,VA,1,486
2011,Albuterol Sulfate/Ipratropium Bromide,VA,2,13656
2011,Arformoterol Tartrate,VA,2,742
2011,Formoterol Fumarate,VA,2,472
2011,Roflumilast,VA,2,51
2011,Albuterol Sulfate/Ipratropium Bromide,VT,1,2065
2011,Arformoterol Tartrate,VT,1,20
2011,Formoterol Fumarate,VT,1,40
2011,Albuterol Sulfate/Ipratropium Bromide,VT,2,2082
2011,Arformoterol Tartrate,VT,2,40
2011,Formoterol Fumarate,VT,2,45
2011,Roflumilast,VT,2,27
2011,Albuterol Sulfate/Ipratropium Bromide,WA,1,9622
2011,Arformoterol Tartrate,WA,1,40
2011,Formoterol Fumarate,WA,1,457
2011,Albuterol Sulfate/Ipratropium Bromide,WA,2,9674
2011,Arformoterol Tartrate,WA,2,50
2011,Formoterol Fumarate,WA,2,456
2011,Roflumilast,WA,2,30
2011,Albuterol Sulfate/Ipratropium Bromide,WI,1,17483
2011,Arformoterol Tartrate,WI,1,67
2011,Formoterol Fumarate,WI,1,330
2011,Roflumilast,WI,1,10
2011,Albuterol Sulfate/Ipratropium Bromide,WI,2,19047
2011,Arformoterol Tartrate,WI,2,143
2011,Formoterol Fumarate,WI,2,441
2011,Roflumilast,WI,2,100
2011,Albuterol Sulfate/Ipratropium Bromide,WV,1,5674
2011,Arformoterol Tartrate,WV,1,189
2011,Formoterol Fumarate,WV,1,259
2011,Albuterol Sulfate/Ipratropium Bromide,WV,2,5419
2011,Arformoterol Tartrate,WV,2,190
2011,Formoterol Fumarate,WV,2,197
2011,Roflumilast,WV,2,117
2011,Albuterol Sulfate/Ipratropium Bromide,WY,1,1047
2011,Arformoterol Tartrate,WY,1,77
2011,Formoterol Fumarate,WY,1,46
2011,Albuterol Sulfate/Ipratropium Bromide,WY,2,1057
2011,Arformoterol Tartrate,WY,2,100
2011,Formoterol Fumarate,WY,2,60
2011,Roflumilast,WY,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,AK,1,1625
2012,Arformoterol Tartrate,AK,1,40
2012,Formoterol Fumarate,AK,1,40
2012,Roflumilast,AK,1,73
2012,Albuterol Sulfate/Ipratropium Bromide,AK,2,1661
2012,Arformoterol Tartrate,AK,2,40
2012,Formoterol Fumarate,AK,2,30
2012,Roflumilast,AK,2,120
2012,Albuterol Sulfate/Ipratropium Bromide,AL,1,9344
2012,Arformoterol Tartrate,AL,1,293
2012,Formoterol Fumarate,AL,1,965
2012,Roflumilast,AL,1,725
2012,Albuterol Sulfate/Ipratropium Bromide,AL,2,10293
2012,Arformoterol Tartrate,AL,2,378
2012,Formoterol Fumarate,AL,2,688
2012,Roflumilast,AL,2,680
2012,Albuterol Sulfate/Ipratropium Bromide,AR,1,3090
2012,Arformoterol Tartrate,AR,1,49
2012,Formoterol Fumarate,AR,1,65
2012,Indacaterol Maleate,AR,1,10
2012,Roflumilast,AR,1,37
2012,Albuterol Sulfate/Ipratropium Bromide,AR,2,2943
2012,Arformoterol Tartrate,AR,2,45
2012,Formoterol Fumarate,AR,2,74
2012,Indacaterol Maleate,AR,2,20
2012,Roflumilast,AR,2,64
2012,Albuterol Sulfate/Ipratropium Bromide,AZ,1,10319
2012,Arformoterol Tartrate,AZ,1,107
2012,Formoterol Fumarate,AZ,1,212
2012,Roflumilast,AZ,1,137
2012,Albuterol Sulfate/Ipratropium Bromide,AZ,2,6795
2012,Arformoterol Tartrate,AZ,2,63
2012,Formoterol Fumarate,AZ,2,161
2012,Roflumilast,AZ,2,105
2012,Albuterol Sulfate/Ipratropium Bromide,CA,1,39305
2012,Arformoterol Tartrate,CA,1,137
2012,Formoterol Fumarate,CA,1,544
2012,Roflumilast,CA,1,499
2012,Aclidinium Bromide,CA,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,CA,2,39373
2012,Arformoterol Tartrate,CA,2,177
2012,Formoterol Fumarate,CA,2,576
2012,Indacaterol Maleate,CA,2,30
2012,Roflumilast,CA,2,728
2012,Albuterol Sulfate/Ipratropium Bromide,CO,1,5708
2012,Arformoterol Tartrate,CO,1,40
2012,Formoterol Fumarate,CO,1,98
2012,Roflumilast,CO,1,99
2012,Albuterol Sulfate/Ipratropium Bromide,CO,2,5919
2012,Arformoterol Tartrate,CO,2,40
2012,Formoterol Fumarate,CO,2,125
2012,Indacaterol Maleate,CO,2,10
2012,Roflumilast,CO,2,134
2012,Albuterol Sulfate/Ipratropium Bromide,CT,1,9544
2012,Arformoterol Tartrate,CT,1,322
2012,Formoterol Fumarate,CT,1,330
2012,Roflumilast,CT,1,312
2012,Aclidinium Bromide,CT,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,CT,2,11760
2012,Arformoterol Tartrate,CT,2,427
2012,Formoterol Fumarate,CT,2,306
2012,Indacaterol Maleate,CT,2,10
2012,Roflumilast,CT,2,416
2012,Albuterol Sulfate/Ipratropium Bromide,DC,1,3444
2012,Arformoterol Tartrate,DC,1,40
2012,Formoterol Fumarate,DC,1,485
2012,Roflumilast,DC,1,30
2012,Albuterol Sulfate/Ipratropium Bromide,DC,2,2884
2012,Arformoterol Tartrate,DC,2,40
2012,Formoterol Fumarate,DC,2,448
2012,Roflumilast,DC,2,20
2012,Albuterol Sulfate/Ipratropium Bromide,DE,1,1362
2012,Arformoterol Tartrate,DE,1,40
2012,Formoterol Fumarate,DE,1,81
2012,Roflumilast,DE,1,48
2012,Albuterol Sulfate/Ipratropium Bromide,DE,2,1351
2012,Arformoterol Tartrate,DE,2,40
2012,Formoterol Fumarate,DE,2,76
2012,Roflumilast,DE,2,51
2012,Albuterol Sulfate/Ipratropium Bromide,FL,1,16866
2012,Arformoterol Tartrate,FL,1,146
2012,Formoterol Fumarate,FL,1,290
2012,Roflumilast,FL,1,1065
2012,Albuterol Sulfate/Ipratropium Bromide,FL,2,37443
2012,Arformoterol Tartrate,FL,2,324
2012,Formoterol Fumarate,FL,2,454
2012,Roflumilast,FL,2,2058
2012,Albuterol Sulfate/Ipratropium Bromide,GA,1,14899
2012,Arformoterol Tartrate,GA,1,66
2012,Formoterol Fumarate,GA,1,285
2012,Roflumilast,GA,1,129
2012,Albuterol Sulfate/Ipratropium Bromide,GA,2,15023
2012,Arformoterol Tartrate,GA,2,80
2012,Formoterol Fumarate,GA,2,264
2012,Roflumilast,GA,2,188
2012,Albuterol Sulfate/Ipratropium Bromide,HI,1,2329
2012,Arformoterol Tartrate,HI,1,30
2012,Formoterol Fumarate,HI,1,40
2012,Roflumilast,HI,1,20
2012,Albuterol Sulfate/Ipratropium Bromide,HI,2,2402
2012,Arformoterol Tartrate,HI,2,40
2012,Formoterol Fumarate,HI,2,40
2012,Roflumilast,HI,2,31
2012,Albuterol Sulfate/Ipratropium Bromide,IA,1,8746
2012,Arformoterol Tartrate,IA,1,608
2012,Formoterol Fumarate,IA,1,161
2012,Roflumilast,IA,1,101
2012,Aclidinium Bromide,IA,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,IA,2,9272
2012,Arformoterol Tartrate,IA,2,791
2012,Formoterol Fumarate,IA,2,175
2012,Roflumilast,IA,2,124
2012,Albuterol Sulfate/Ipratropium Bromide,ID,1,3063
2012,Arformoterol Tartrate,ID,1,187
2012,Formoterol Fumarate,ID,1,206
2012,Roflumilast,ID,1,64
2012,Aclidinium Bromide,ID,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,ID,2,3166
2012,Arformoterol Tartrate,ID,2,336
2012,Formoterol Fumarate,ID,2,165
2012,Roflumilast,ID,2,103
2012,Albuterol Sulfate/Ipratropium Bromide,IL,1,15479
2012,Arformoterol Tartrate,IL,1,390
2012,Formoterol Fumarate,IL,1,415
2012,Roflumilast,IL,1,70
2012,Albuterol Sulfate/Ipratropium Bromide,IL,2,17362
2012,Arformoterol Tartrate,IL,2,346
2012,Formoterol Fumarate,IL,2,451
2012,Roflumilast,IL,2,220
2012,Albuterol Sulfate/Ipratropium Bromide,IN,1,18502
2012,Arformoterol Tartrate,IN,1,388
2012,Formoterol Fumarate,IN,1,762
2012,Indacaterol Maleate,IN,1,10
2012,Roflumilast,IN,1,419
2012,Aclidinium Bromide,IN,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,IN,2,14436
2012,Arformoterol Tartrate,IN,2,1048
2012,Formoterol Fumarate,IN,2,947
2012,Indacaterol Maleate,IN,2,20
2012,Roflumilast,IN,2,515
2012,Albuterol Sulfate/Ipratropium Bromide,KS,1,5026
2012,Arformoterol Tartrate,KS,1,620
2012,Formoterol Fumarate,KS,1,252
2012,Roflumilast,KS,1,251
2012,Aclidinium Bromide,KS,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,KS,2,5168
2012,Arformoterol Tartrate,KS,2,695
2012,Formoterol Fumarate,KS,2,245
2012,Roflumilast,KS,2,335
2012,Albuterol Sulfate/Ipratropium Bromide,KY,1,19136
2012,Arformoterol Tartrate,KY,1,138
2012,Formoterol Fumarate,KY,1,273
2012,Roflumilast,KY,1,550
2012,Aclidinium Bromide,KY,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,KY,2,22495
2012,Arformoterol Tartrate,KY,2,120
2012,Formoterol Fumarate,KY,2,252
2012,Indacaterol Maleate,KY,2,10
2012,Roflumilast,KY,2,740
2012,Albuterol Sulfate/Ipratropium Bromide,LA,1,7947
2012,Arformoterol Tartrate,LA,1,155
2012,Formoterol Fumarate,LA,1,150
2012,Roflumilast,LA,1,673
2012,Aclidinium Bromide,LA,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,LA,2,9174
2012,Arformoterol Tartrate,LA,2,201
2012,Formoterol Fumarate,LA,2,175
2012,Roflumilast,LA,2,1068
2012,Albuterol Sulfate/Ipratropium Bromide,MA,1,14312
2012,Arformoterol Tartrate,MA,1,179
2012,Formoterol Fumarate,MA,1,345
2012,Roflumilast,MA,1,149
2012,Albuterol Sulfate/Ipratropium Bromide,MA,2,12804
2012,Arformoterol Tartrate,MA,2,154
2012,Formoterol Fumarate,MA,2,313
2012,Roflumilast,MA,2,247
2012,Albuterol Sulfate/Ipratropium Bromide,MD,1,12090
2012,Arformoterol Tartrate,MD,1,60
2012,Formoterol Fumarate,MD,1,283
2012,Roflumilast,MD,1,66
2012,Albuterol Sulfate/Ipratropium Bromide,MD,2,12462
2012,Arformoterol Tartrate,MD,2,74
2012,Formoterol Fumarate,MD,2,264
2012,Roflumilast,MD,2,85
2012,Albuterol Sulfate/Ipratropium Bromide,ME,1,7175
2012,Arformoterol Tartrate,ME,1,79
2012,Formoterol Fumarate,ME,1,146
2012,Roflumilast,ME,1,96
2012,Albuterol Sulfate/Ipratropium Bromide,ME,2,7570
2012,Arformoterol Tartrate,ME,2,71
2012,Formoterol Fumarate,ME,2,185
2012,Roflumilast,ME,2,102
2012,Albuterol Sulfate/Ipratropium Bromide,MI,1,14409
2012,Arformoterol Tartrate,MI,1,215
2012,Formoterol Fumarate,MI,1,459
2012,Roflumilast,MI,1,127
2012,Albuterol Sulfate/Ipratropium Bromide,MI,2,14613
2012,Arformoterol Tartrate,MI,2,245
2012,Formoterol Fumarate,MI,2,442
2012,Roflumilast,MI,2,244
2012,Albuterol Sulfate/Ipratropium Bromide,MN,1,15638
2012,Arformoterol Tartrate,MN,1,385
2012,Formoterol Fumarate,MN,1,366
2012,Roflumilast,MN,1,81
2012,Albuterol Sulfate/Ipratropium Bromide,MN,2,16380
2012,Arformoterol Tartrate,MN,2,495
2012,Formoterol Fumarate,MN,2,426
2012,Indacaterol Maleate,MN,2,10
2012,Roflumilast,MN,2,144
2012,Albuterol Sulfate/Ipratropium Bromide,MO,1,21595
2012,Arformoterol Tartrate,MO,1,527
2012,Formoterol Fumarate,MO,1,1343
2012,Roflumilast,MO,1,763
2012,Aclidinium Bromide,MO,2,10
2012,Albuterol Sulfate/Ipratropium Bromide,MO,2,22193
2012,Arformoterol Tartrate,MO,2,794
2012,Formoterol Fumarate,MO,2,1472
2012,Indacaterol Maleate,MO,2,20
2012,Roflumilast,MO,2,1737
2012,Albuterol Sulfate/Ipratropium Bromide,MS,1,2877
2012,Arformoterol Tartrate,MS,1,30
2012,Formoterol Fumarate,MS,1,116
2012,Roflumilast,MS,1,40
2012,Albuterol Sulfate/Ipratropium Bromide,MS,2,2852
2012,Arformoterol Tartrate,MS,2,40
2012,Formoterol Fumarate,MS,2,134
2012,Roflumilast,MS,2,40
2012,Albuterol Sulfate/Ipratropium Bromide,MT,1,2627
2012,Arformoterol Tartrate,MT,1,115
2012,Formoterol Fumarate,MT,1,46
2012,Roflumilast,MT,1,20
2012,Albuterol Sulfate/Ipratropium Bromide,MT,2,2913
2012,Arformoterol Tartrate,MT,2,193
2012,Formoterol Fumarate,MT,2,44
2012,Roflumilast,MT,2,32
