year,gennme,prodnme,state,halfyear,suppression,totalRX
2011,Formoterol Fumarate,FORADIL AEROLIZER,AR,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AR,1,F,827
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AR,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,AR,1,T,0
2011,Arformoterol Tartrate,BROVANA,AR,2,T,0
2011,Arformoterol Tartrate,BROVANA,AR,2,F,13
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AR,2,F,2013
2011,Roflumilast,DALIRESP,AR,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AR,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,AR,2,F,27
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AR,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AR,2,F,909
2011,Formoterol Fumarate,PERFOROMIST,AR,2,T,0
2011,Arformoterol Tartrate,BROVANA,AZ,1,T,0
2011,Arformoterol Tartrate,BROVANA,AZ,1,F,29
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AZ,1,F,5648
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AZ,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AZ,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,AZ,1,F,404
2011,Formoterol Fumarate,FORADIL AEROLIZER,AZ,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AZ,1,F,3540
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AZ,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,AZ,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,AZ,1,F,36
2011,Arformoterol Tartrate,BROVANA,AZ,2,F,99
2011,Arformoterol Tartrate,BROVANA,AZ,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AZ,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AZ,2,F,6032
2011,Roflumilast,DALIRESP,AZ,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AZ,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,AZ,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,AZ,2,F,256
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AZ,2,F,5210
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AZ,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,AZ,2,T,0
2011,Arformoterol Tartrate,BROVANA,CA,1,F,104
2011,Arformoterol Tartrate,BROVANA,CA,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CA,1,F,29222
2011,Roflumilast,DALIRESP,CA,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CA,1,F,9590
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CA,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,CA,1,F,534
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CA,1,F,3607
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CA,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,CA,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,CA,1,F,74
2011,Arformoterol Tartrate,BROVANA,CA,2,F,86
2011,Arformoterol Tartrate,BROVANA,CA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CA,2,F,27418
2011,Roflumilast,DALIRESP,CA,2,F,139
2011,Roflumilast,DALIRESP,CA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CA,2,F,6268
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CA,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,CA,2,F,449
2011,Formoterol Fumarate,FORADIL AEROLIZER,CA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CA,2,F,4444
2011,Formoterol Fumarate,PERFOROMIST,CA,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,CA,2,F,67
2011,Arformoterol Tartrate,BROVANA,CO,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CO,1,F,2756
2011,Roflumilast,DALIRESP,CO,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,CO,1,F,53
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CO,1,F,2197
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CO,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,CO,1,F,73
2011,Arformoterol Tartrate,BROVANA,CO,2,F,13
2011,Arformoterol Tartrate,BROVANA,CO,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CO,2,F,2784
2011,Roflumilast,DALIRESP,CO,2,F,37
2011,Formoterol Fumarate,FORADIL AEROLIZER,CO,2,F,40
2011,Formoterol Fumarate,FORADIL AEROLIZER,CO,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CO,2,F,2387
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CO,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,CO,2,F,48
2011,Arformoterol Tartrate,BROVANA,CT,1,F,328
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CT,1,F,3278
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CT,1,F,566
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CT,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,CT,1,F,107
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CT,1,F,5302
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CT,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,CT,1,F,183
2011,Arformoterol Tartrate,BROVANA,CT,2,F,287
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CT,2,F,3309
2011,Roflumilast,DALIRESP,CT,2,F,90
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CT,2,F,345
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CT,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,CT,2,F,116
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CT,2,F,4708
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CT,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,CT,2,F,182
2011,Arformoterol Tartrate,BROVANA,DC,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DC,1,F,1119
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DC,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,DC,1,F,163
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DC,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DC,1,F,29
2011,Arformoterol Tartrate,BROVANA,DC,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DC,2,F,2177
2011,Roflumilast,DALIRESP,DC,2,F,19
2011,Formoterol Fumarate,FORADIL AEROLIZER,DC,2,F,309
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DC,2,F,84
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DC,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,DC,2,T,0
2011,Arformoterol Tartrate,BROVANA,DE,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DE,1,F,1199
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DE,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,DE,1,F,49
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DE,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DE,1,F,119
2011,Formoterol Fumarate,PERFOROMIST,DE,1,T,0
2011,Arformoterol Tartrate,BROVANA,DE,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DE,2,F,1158
2011,Roflumilast,DALIRESP,DE,2,F,14
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DE,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,DE,2,F,51
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DE,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DE,2,F,133
2011,Formoterol Fumarate,PERFOROMIST,DE,2,T,0
2011,Arformoterol Tartrate,BROVANA,FL,1,F,231
2011,Arformoterol Tartrate,BROVANA,FL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,FL,1,F,23035
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,FL,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,FL,1,F,259
2011,Formoterol Fumarate,FORADIL AEROLIZER,FL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,FL,1,F,5344
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,FL,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,FL,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,FL,1,F,187
2011,Arformoterol Tartrate,BROVANA,FL,2,T,0
2011,Arformoterol Tartrate,BROVANA,FL,2,F,132
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,FL,2,F,22595
2011,Roflumilast,DALIRESP,FL,2,F,250
2011,Roflumilast,DALIRESP,FL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,FL,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,FL,2,F,246
2011,Formoterol Fumarate,FORADIL AEROLIZER,FL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,FL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,FL,2,F,4398
2011,Formoterol Fumarate,PERFOROMIST,FL,2,F,125
2011,Formoterol Fumarate,PERFOROMIST,FL,2,T,0
2011,Arformoterol Tartrate,BROVANA,GA,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,GA,1,F,11016
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,GA,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,GA,1,F,242
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,GA,1,F,1667
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,GA,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,GA,1,F,29
2011,Arformoterol Tartrate,BROVANA,GA,2,T,0
2011,Arformoterol Tartrate,BROVANA,GA,2,F,22
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,GA,2,F,12927
2011,Roflumilast,DALIRESP,GA,2,F,18
2011,Roflumilast,DALIRESP,GA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,GA,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,GA,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,GA,2,F,283
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,GA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,GA,2,F,2277
2011,Formoterol Fumarate,PERFOROMIST,GA,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,GA,2,F,16
2011,Arformoterol Tartrate,BROVANA,HI,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,HI,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,HI,1,F,1632
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,HI,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,HI,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,HI,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,HI,1,F,569
2011,Formoterol Fumarate,PERFOROMIST,HI,1,T,0
2011,Arformoterol Tartrate,BROVANA,HI,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,HI,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,HI,2,F,1617
2011,Roflumilast,DALIRESP,HI,2,T,0
2011,Roflumilast,DALIRESP,HI,2,F,18
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,HI,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,HI,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,HI,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,HI,2,F,590
2011,Formoterol Fumarate,PERFOROMIST,HI,2,T,0
2011,Arformoterol Tartrate,BROVANA,IA,1,F,565
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IA,1,F,2937
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IA,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IA,1,F,101
2011,Formoterol Fumarate,FORADIL AEROLIZER,IA,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IA,1,F,5720
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IA,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,IA,1,F,87
2011,Arformoterol Tartrate,BROVANA,IA,2,F,432
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IA,2,F,2935
2011,Roflumilast,DALIRESP,IA,2,T,0
2011,Roflumilast,DALIRESP,IA,2,F,22
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IA,2,F,61
2011,Formoterol Fumarate,FORADIL AEROLIZER,IA,2,F,26
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IA,2,F,4914
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IA,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,IA,2,F,100
2011,Arformoterol Tartrate,BROVANA,ID,1,T,0
2011,Arformoterol Tartrate,BROVANA,ID,1,F,15
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,ID,1,F,1628
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,ID,1,F,95
2011,Formoterol Fumarate,FORADIL AEROLIZER,ID,1,F,64
2011,Formoterol Fumarate,FORADIL AEROLIZER,ID,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ID,1,F,964
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ID,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,ID,1,F,70
2011,Arformoterol Tartrate,BROVANA,ID,2,T,0
2011,Arformoterol Tartrate,BROVANA,ID,2,F,110
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,ID,2,F,1638
2011,Roflumilast,DALIRESP,ID,2,T,0
2011,Roflumilast,DALIRESP,ID,2,F,16
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,ID,2,F,75
2011,Formoterol Fumarate,FORADIL AEROLIZER,ID,2,F,70
2011,Formoterol Fumarate,FORADIL AEROLIZER,ID,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ID,2,F,1254
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ID,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,ID,2,F,103
2011,Arformoterol Tartrate,BROVANA,IL,1,F,320
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IL,1,F,15698
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IL,1,F,31
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IL,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,IL,1,F,220
2011,Formoterol Fumarate,FORADIL AEROLIZER,IL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IL,1,F,2387
2011,Formoterol Fumarate,PERFOROMIST,IL,1,F,160
2011,Arformoterol Tartrate,BROVANA,IL,2,F,173
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IL,2,F,6218
2011,Roflumilast,DALIRESP,IL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IL,2,F,23
2011,Formoterol Fumarate,FORADIL AEROLIZER,IL,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,IL,2,F,43
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IL,2,F,1503
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IL,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,IL,2,F,70
2011,Arformoterol Tartrate,BROVANA,IN,1,F,476
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IN,1,F,8976
2011,Roflumilast,DALIRESP,IN,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IN,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,IN,1,F,248
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IN,1,F,4196
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IN,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,IN,1,F,320
2011,Arformoterol Tartrate,BROVANA,IN,2,F,418
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IN,2,F,7788
2011,Roflumilast,DALIRESP,IN,2,F,291
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IN,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,IN,2,F,305
2011,Formoterol Fumarate,FORADIL AEROLIZER,IN,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IN,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IN,2,F,3700
2011,Formoterol Fumarate,PERFOROMIST,IN,2,F,301
2011,Arformoterol Tartrate,BROVANA,KS,1,F,418
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,KS,1,F,2196
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KS,1,F,26
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KS,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,KS,1,F,47
2011,Formoterol Fumarate,FORADIL AEROLIZER,KS,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KS,1,F,2522
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KS,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,KS,1,F,153
2011,Arformoterol Tartrate,BROVANA,KS,2,F,508
2011,Arformoterol Tartrate,BROVANA,KS,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,KS,2,F,2184
2011,Roflumilast,DALIRESP,KS,2,F,80
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KS,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KS,2,F,16
2011,Formoterol Fumarate,FORADIL AEROLIZER,KS,2,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,KS,2,F,48
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KS,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KS,2,F,2414
2011,Formoterol Fumarate,PERFOROMIST,KS,2,F,181
2011,Arformoterol Tartrate,BROVANA,KY,1,T,0
2011,Arformoterol Tartrate,BROVANA,KY,1,F,106
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,KY,1,F,13953
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KY,1,F,50
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KY,1,T,0
2011,Formoterol Fumarate,FORADIL AEROLIZER,KY,1,F,239
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KY,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KY,1,F,6860
2011,Formoterol Fumarate,PERFOROMIST,KY,1,T,0
2011,Formoterol Fumarate,PERFOROMIST,KY,1,F,39
2011,Arformoterol Tartrate,BROVANA,KY,2,T,0
2011,Arformoterol Tartrate,BROVANA,KY,2,F,130
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,KY,2,F,14777
2011,Roflumilast,DALIRESP,KY,2,F,251
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KY,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DUONEB,KY,2,F,18
2011,Formoterol Fumarate,FORADIL AEROLIZER,KY,2,F,224
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KY,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,KY,2,F,6736
2011,Formoterol Fumarate,PERFOROMIST,KY,2,T,0
2011,Formoterol Fumarate,PERFOROMIST,KY,2,F,16
2011,Arformoterol Tartrate,BROVANA,LA,1,F,188
2011,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,LA,1,F,5935
2011,Roflumilast,DALIRESP,LA,1,T,0
