year,gennme,state,halfyear,suppression,totalRX
2011,Arformoterol Tartrate,AZ,1,T,0
2011,Arformoterol Tartrate,AZ,1,F,29
2011,Formoterol Fumarate,AZ,1,F,440
2011,Formoterol Fumarate,AZ,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,AZ,2,F,11242
2011,Albuterol Sulfate/Ipratropium Bromide,AZ,2,T,0
2011,Arformoterol Tartrate,AZ,2,F,99
2011,Arformoterol Tartrate,AZ,2,T,0
2011,Formoterol Fumarate,AZ,2,T,0
2011,Formoterol Fumarate,AZ,2,F,256
2011,Roflumilast,AZ,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,CA,1,F,42419
2011,Albuterol Sulfate/Ipratropium Bromide,CA,1,T,0
2011,Arformoterol Tartrate,CA,1,F,104
2011,Arformoterol Tartrate,CA,1,T,0
2011,Formoterol Fumarate,CA,1,F,608
2011,Formoterol Fumarate,CA,1,T,0
2011,Roflumilast,CA,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,CA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,CA,2,F,38130
2011,Arformoterol Tartrate,CA,2,F,86
2011,Arformoterol Tartrate,CA,2,T,0
2011,Formoterol Fumarate,CA,2,F,516
2011,Formoterol Fumarate,CA,2,T,0
2011,Roflumilast,CA,2,F,139
2011,Roflumilast,CA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,CO,1,F,4953
2011,Albuterol Sulfate/Ipratropium Bromide,CO,1,T,0
2011,Arformoterol Tartrate,CO,1,T,0
2011,Formoterol Fumarate,CO,1,F,126
2011,Roflumilast,CO,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,CO,2,F,5171
2011,Albuterol Sulfate/Ipratropium Bromide,CO,2,T,0
2011,Arformoterol Tartrate,CO,2,F,13
2011,Arformoterol Tartrate,CO,2,T,0
2011,Formoterol Fumarate,CO,2,F,88
2011,Formoterol Fumarate,CO,2,T,0
2011,Roflumilast,CO,2,F,37
2011,Albuterol Sulfate/Ipratropium Bromide,CT,1,F,9146
2011,Albuterol Sulfate/Ipratropium Bromide,CT,1,T,0
2011,Arformoterol Tartrate,CT,1,F,328
2011,Formoterol Fumarate,CT,1,F,290
2011,Albuterol Sulfate/Ipratropium Bromide,CT,2,F,8362
2011,Albuterol Sulfate/Ipratropium Bromide,CT,2,T,0
2011,Arformoterol Tartrate,CT,2,F,287
2011,Formoterol Fumarate,CT,2,F,298
2011,Roflumilast,CT,2,F,90
2011,Albuterol Sulfate/Ipratropium Bromide,DC,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DC,1,F,1148
2011,Arformoterol Tartrate,DC,1,T,0
2011,Formoterol Fumarate,DC,1,F,163
2011,Albuterol Sulfate/Ipratropium Bromide,DC,2,F,2261
2011,Albuterol Sulfate/Ipratropium Bromide,DC,2,T,0
2011,Arformoterol Tartrate,DC,2,T,0
2011,Formoterol Fumarate,DC,2,F,309
2011,Formoterol Fumarate,DC,2,T,0
2011,Roflumilast,DC,2,F,19
2011,Albuterol Sulfate/Ipratropium Bromide,DE,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DE,1,F,1318
2011,Arformoterol Tartrate,DE,1,T,0
2011,Formoterol Fumarate,DE,1,F,49
2011,Formoterol Fumarate,DE,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DE,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,DE,2,F,1291
2011,Arformoterol Tartrate,DE,2,T,0
2011,Formoterol Fumarate,DE,2,F,51
2011,Formoterol Fumarate,DE,2,T,0
2011,Roflumilast,DE,2,F,14
2011,Albuterol Sulfate/Ipratropium Bromide,FL,1,F,28379
2011,Albuterol Sulfate/Ipratropium Bromide,FL,1,T,0
2011,Arformoterol Tartrate,FL,1,F,231
2011,Arformoterol Tartrate,FL,1,T,0
2011,Formoterol Fumarate,FL,1,F,446
2011,Formoterol Fumarate,FL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,FL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,FL,2,F,26993
2011,Arformoterol Tartrate,FL,2,T,0
2011,Arformoterol Tartrate,FL,2,F,132
2011,Formoterol Fumarate,FL,2,F,371
2011,Formoterol Fumarate,FL,2,T,0
2011,Roflumilast,FL,2,F,250
2011,Roflumilast,FL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,GA,1,F,12683
2011,Albuterol Sulfate/Ipratropium Bromide,GA,1,T,0
2011,Arformoterol Tartrate,GA,1,T,0
2011,Formoterol Fumarate,GA,1,F,271
2011,Albuterol Sulfate/Ipratropium Bromide,GA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,GA,2,F,15204
2011,Arformoterol Tartrate,GA,2,T,0
2011,Arformoterol Tartrate,GA,2,F,22
2011,Formoterol Fumarate,GA,2,T,0
2011,Formoterol Fumarate,GA,2,F,299
2011,Roflumilast,GA,2,F,18
2011,Roflumilast,GA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,HI,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,HI,1,F,2201
2011,Arformoterol Tartrate,HI,1,T,0
2011,Formoterol Fumarate,HI,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,HI,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,HI,2,F,2207
2011,Arformoterol Tartrate,HI,2,T,0
2011,Formoterol Fumarate,HI,2,T,0
2011,Roflumilast,HI,2,T,0
2011,Roflumilast,HI,2,F,18
2011,Albuterol Sulfate/Ipratropium Bromide,IA,1,F,8758
2011,Albuterol Sulfate/Ipratropium Bromide,IA,1,T,0
2011,Arformoterol Tartrate,IA,1,F,565
2011,Formoterol Fumarate,IA,1,T,0
2011,Formoterol Fumarate,IA,1,F,87
2011,Albuterol Sulfate/Ipratropium Bromide,IA,2,F,7910
2011,Albuterol Sulfate/Ipratropium Bromide,IA,2,T,0
2011,Arformoterol Tartrate,IA,2,F,432
2011,Formoterol Fumarate,IA,2,F,126
2011,Roflumilast,IA,2,T,0
2011,Roflumilast,IA,2,F,22
2011,Albuterol Sulfate/Ipratropium Bromide,ID,1,F,2687
2011,Albuterol Sulfate/Ipratropium Bromide,ID,1,T,0
2011,Arformoterol Tartrate,ID,1,T,0
2011,Arformoterol Tartrate,ID,1,F,15
2011,Formoterol Fumarate,ID,1,F,134
2011,Formoterol Fumarate,ID,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,ID,2,F,2967
2011,Albuterol Sulfate/Ipratropium Bromide,ID,2,T,0
2011,Arformoterol Tartrate,ID,2,T,0
2011,Arformoterol Tartrate,ID,2,F,110
2011,Formoterol Fumarate,ID,2,F,173
2011,Formoterol Fumarate,ID,2,T,0
2011,Roflumilast,ID,2,T,0
2011,Roflumilast,ID,2,F,16
2011,Albuterol Sulfate/Ipratropium Bromide,IL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IL,1,F,18116
2011,Arformoterol Tartrate,IL,1,F,320
2011,Formoterol Fumarate,IL,1,F,380
2011,Formoterol Fumarate,IL,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IL,2,F,7744
2011,Albuterol Sulfate/Ipratropium Bromide,IL,2,T,0
2011,Arformoterol Tartrate,IL,2,F,173
2011,Formoterol Fumarate,IL,2,T,0
2011,Formoterol Fumarate,IL,2,F,113
2011,Roflumilast,IL,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IN,1,F,13172
2011,Albuterol Sulfate/Ipratropium Bromide,IN,1,T,0
2011,Arformoterol Tartrate,IN,1,F,476
2011,Formoterol Fumarate,IN,1,F,568
2011,Roflumilast,IN,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IN,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,IN,2,F,11488
2011,Arformoterol Tartrate,IN,2,F,418
2011,Formoterol Fumarate,IN,2,F,606
2011,Formoterol Fumarate,IN,2,T,0
2011,Roflumilast,IN,2,F,291
2011,Albuterol Sulfate/Ipratropium Bromide,KS,1,F,4744
2011,Albuterol Sulfate/Ipratropium Bromide,KS,1,T,0
2011,Arformoterol Tartrate,KS,1,F,418
2011,Formoterol Fumarate,KS,1,F,200
2011,Formoterol Fumarate,KS,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,KS,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,KS,2,F,4614
2011,Arformoterol Tartrate,KS,2,F,508
2011,Arformoterol Tartrate,KS,2,T,0
2011,Formoterol Fumarate,KS,2,T,0
2011,Formoterol Fumarate,KS,2,F,229
2011,Roflumilast,KS,2,F,80
2011,Albuterol Sulfate/Ipratropium Bromide,KY,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,KY,1,F,20863
2011,Arformoterol Tartrate,KY,1,T,0
2011,Arformoterol Tartrate,KY,1,F,106
2011,Formoterol Fumarate,KY,1,F,278
2011,Formoterol Fumarate,KY,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,KY,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,KY,2,F,21531
2011,Arformoterol Tartrate,KY,2,T,0
2011,Arformoterol Tartrate,KY,2,F,130
2011,Formoterol Fumarate,KY,2,F,240
2011,Formoterol Fumarate,KY,2,T,0
2011,Roflumilast,KY,2,F,251
2011,Albuterol Sulfate/Ipratropium Bromide,LA,1,F,8086
2011,Albuterol Sulfate/Ipratropium Bromide,LA,1,T,0
2011,Arformoterol Tartrate,LA,1,F,188
2011,Formoterol Fumarate,LA,1,F,188
2011,Formoterol Fumarate,LA,1,T,0
2011,Roflumilast,LA,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,LA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,LA,2,F,7966
2011,Arformoterol Tartrate,LA,2,F,178
2011,Formoterol Fumarate,LA,2,F,152
2011,Formoterol Fumarate,LA,2,T,0
2011,Roflumilast,LA,2,F,462
2011,Albuterol Sulfate/Ipratropium Bromide,MA,1,F,13698
2011,Albuterol Sulfate/Ipratropium Bromide,MA,1,T,0
2011,Arformoterol Tartrate,MA,1,F,116
2011,Arformoterol Tartrate,MA,1,T,0
2011,Formoterol Fumarate,MA,1,F,312
2011,Albuterol Sulfate/Ipratropium Bromide,MA,2,F,12994
2011,Albuterol Sulfate/Ipratropium Bromide,MA,2,T,0
2011,Arformoterol Tartrate,MA,2,F,136
2011,Arformoterol Tartrate,MA,2,T,0
2011,Formoterol Fumarate,MA,2,F,356
2011,Roflumilast,MA,2,T,0
2011,Roflumilast,MA,2,F,31
2011,Albuterol Sulfate/Ipratropium Bromide,MD,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MD,1,F,10950
2011,Arformoterol Tartrate,MD,1,T,0
2011,Formoterol Fumarate,MD,1,F,251
2011,Formoterol Fumarate,MD,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MD,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MD,2,F,11402
2011,Arformoterol Tartrate,MD,2,T,0
2011,Arformoterol Tartrate,MD,2,F,28
2011,Formoterol Fumarate,MD,2,F,258
2011,Formoterol Fumarate,MD,2,T,0
2011,Roflumilast,MD,2,T,0
2011,Roflumilast,MD,2,F,20
2011,Albuterol Sulfate/Ipratropium Bromide,ME,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,ME,1,F,6712
2011,Arformoterol Tartrate,ME,1,F,53
2011,Arformoterol Tartrate,ME,1,T,0
2011,Formoterol Fumarate,ME,1,F,152
2011,Formoterol Fumarate,ME,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,ME,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,ME,2,F,7057
2011,Arformoterol Tartrate,ME,2,F,74
2011,Formoterol Fumarate,ME,2,F,132
2011,Roflumilast,ME,2,T,0
2011,Roflumilast,ME,2,F,22
2011,Albuterol Sulfate/Ipratropium Bromide,MI,1,F,13305
2011,Albuterol Sulfate/Ipratropium Bromide,MI,1,T,0
2011,Arformoterol Tartrate,MI,1,T,0
2011,Arformoterol Tartrate,MI,1,F,219
2011,Formoterol Fumarate,MI,1,F,363
2011,Formoterol Fumarate,MI,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MI,2,F,13879
2011,Albuterol Sulfate/Ipratropium Bromide,MI,2,T,0
2011,Arformoterol Tartrate,MI,2,T,0
2011,Arformoterol Tartrate,MI,2,F,204
2011,Formoterol Fumarate,MI,2,F,396
2011,Formoterol Fumarate,MI,2,T,0
2011,Roflumilast,MI,2,T,0
2011,Roflumilast,MI,2,F,24
2011,Albuterol Sulfate/Ipratropium Bromide,MN,1,F,10459
2011,Albuterol Sulfate/Ipratropium Bromide,MN,1,T,0
2011,Arformoterol Tartrate,MN,1,T,0
2011,Arformoterol Tartrate,MN,1,F,184
2011,Formoterol Fumarate,MN,1,T,0
2011,Formoterol Fumarate,MN,1,F,132
2011,Albuterol Sulfate/Ipratropium Bromide,MN,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MN,2,F,13500
2011,Arformoterol Tartrate,MN,2,F,299
2011,Arformoterol Tartrate,MN,2,T,0
2011,Formoterol Fumarate,MN,2,F,243
2011,Formoterol Fumarate,MN,2,T,0
2011,Roflumilast,MN,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MO,1,F,22138
2011,Albuterol Sulfate/Ipratropium Bromide,MO,1,T,0
2011,Arformoterol Tartrate,MO,1,F,376
2011,Formoterol Fumarate,MO,1,F,1551
2011,Formoterol Fumarate,MO,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MO,2,F,22221
2011,Albuterol Sulfate/Ipratropium Bromide,MO,2,T,0
2011,Arformoterol Tartrate,MO,2,F,397
2011,Formoterol Fumarate,MO,2,F,1732
2011,Formoterol Fumarate,MO,2,T,0
2011,Roflumilast,MO,2,F,276
2011,Albuterol Sulfate/Ipratropium Bromide,MS,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MS,1,F,1406
2011,Arformoterol Tartrate,MS,1,T,0
2011,Formoterol Fumarate,MS,1,F,44
2011,Formoterol Fumarate,MS,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MS,2,F,3539
2011,Albuterol Sulfate/Ipratropium Bromide,MS,2,T,0
2011,Arformoterol Tartrate,MS,2,T,0
2011,Formoterol Fumarate,MS,2,F,85
2011,Formoterol Fumarate,MS,2,T,0
2011,Roflumilast,MS,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MT,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MT,1,F,2596
2011,Arformoterol Tartrate,MT,1,T,0
2011,Arformoterol Tartrate,MT,1,F,39
2011,Formoterol Fumarate,MT,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,MT,2,F,2518
2011,Albuterol Sulfate/Ipratropium Bromide,MT,2,T,0
2011,Arformoterol Tartrate,MT,2,T,0
2011,Arformoterol Tartrate,MT,2,F,80
2011,Formoterol Fumarate,MT,2,T,0
2011,Roflumilast,MT,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NC,1,F,15204
2011,Albuterol Sulfate/Ipratropium Bromide,NC,1,T,0
2011,Arformoterol Tartrate,NC,1,F,623
2011,Formoterol Fumarate,NC,1,F,563
2011,Formoterol Fumarate,NC,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NC,2,F,14052
2011,Albuterol Sulfate/Ipratropium Bromide,NC,2,T,0
2011,Arformoterol Tartrate,NC,2,F,522
2011,Formoterol Fumarate,NC,2,F,587
2011,Roflumilast,NC,2,F,145
2011,Albuterol Sulfate/Ipratropium Bromide,NE,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NE,1,F,2462
2011,Arformoterol Tartrate,NE,1,F,230
2011,Formoterol Fumarate,NE,1,T,0
2011,Formoterol Fumarate,NE,1,F,38
2011,Albuterol Sulfate/Ipratropium Bromide,NE,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NE,2,F,2886
2011,Arformoterol Tartrate,NE,2,F,284
2011,Formoterol Fumarate,NE,2,T,0
2011,Formoterol Fumarate,NE,2,F,17
2011,Roflumilast,NE,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NH,1,F,3582
2011,Albuterol Sulfate/Ipratropium Bromide,NH,1,T,0
2011,Arformoterol Tartrate,NH,1,T,0
2011,Arformoterol Tartrate,NH,1,F,18
2011,Formoterol Fumarate,NH,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NH,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NH,2,F,3416
2011,Arformoterol Tartrate,NH,2,T,0
2011,Arformoterol Tartrate,NH,2,F,24
2011,Formoterol Fumarate,NH,2,T,0
2011,Roflumilast,NH,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NJ,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NJ,1,F,7151
2011,Arformoterol Tartrate,NJ,1,F,231
2011,Arformoterol Tartrate,NJ,1,T,0
2011,Formoterol Fumarate,NJ,1,F,419
2011,Albuterol Sulfate/Ipratropium Bromide,NJ,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NJ,2,F,6391
2011,Arformoterol Tartrate,NJ,2,F,162
2011,Arformoterol Tartrate,NJ,2,T,0
2011,Formoterol Fumarate,NJ,2,F,359
2011,Formoterol Fumarate,NJ,2,T,0
2011,Roflumilast,NJ,2,F,171
2011,Albuterol Sulfate/Ipratropium Bromide,NM,1,F,2572
2011,Albuterol Sulfate/Ipratropium Bromide,NM,1,T,0
2011,Formoterol Fumarate,NM,1,F,36
2011,Formoterol Fumarate,NM,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NM,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NM,2,F,1842
2011,Formoterol Fumarate,NM,2,T,0
2011,Formoterol Fumarate,NM,2,F,41
2011,Albuterol Sulfate/Ipratropium Bromide,NV,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NV,1,F,2197
2011,Arformoterol Tartrate,NV,1,T,0
2011,Formoterol Fumarate,NV,1,T,0
2011,Formoterol Fumarate,NV,1,F,85
2011,Albuterol Sulfate/Ipratropium Bromide,NV,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NV,2,F,2114
2011,Arformoterol Tartrate,NV,2,T,0
2011,Formoterol Fumarate,NV,2,F,82
2011,Formoterol Fumarate,NV,2,T,0
2011,Roflumilast,NV,2,F,108
2011,Albuterol Sulfate/Ipratropium Bromide,NY,1,F,34331
2011,Albuterol Sulfate/Ipratropium Bromide,NY,1,T,0
2011,Arformoterol Tartrate,NY,1,F,1235
2011,Formoterol Fumarate,NY,1,F,1613
2011,Formoterol Fumarate,NY,1,T,0
2011,Roflumilast,NY,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,NY,2,F,34630
2011,Albuterol Sulfate/Ipratropium Bromide,NY,2,T,0
2011,Arformoterol Tartrate,NY,2,F,908
2011,Formoterol Fumarate,NY,2,F,1604
2011,Formoterol Fumarate,NY,2,T,0
2011,Roflumilast,NY,2,F,908
2011,Albuterol Sulfate/Ipratropium Bromide,OH,1,F,29190
2011,Albuterol Sulfate/Ipratropium Bromide,OH,1,T,0
2011,Arformoterol Tartrate,OH,1,F,289
2011,Formoterol Fumarate,OH,1,F,1012
2011,Albuterol Sulfate/Ipratropium Bromide,OH,2,F,20895
2011,Albuterol Sulfate/Ipratropium Bromide,OH,2,T,0
2011,Arformoterol Tartrate,OH,2,F,215
2011,Formoterol Fumarate,OH,2,F,797
2011,Roflumilast,OH,2,F,366
2011,Albuterol Sulfate/Ipratropium Bromide,OK,1,F,6964
2011,Albuterol Sulfate/Ipratropium Bromide,OK,1,T,0
2011,Arformoterol Tartrate,OK,1,T,0
2011,Arformoterol Tartrate,OK,1,F,119
2011,Formoterol Fumarate,OK,1,F,219
2011,Formoterol Fumarate,OK,1,T,0
2011,Roflumilast,OK,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,OK,2,F,7055
2011,Albuterol Sulfate/Ipratropium Bromide,OK,2,T,0
2011,Arformoterol Tartrate,OK,2,T,0
2011,Arformoterol Tartrate,OK,2,F,149
2011,Formoterol Fumarate,OK,2,F,205
2011,Roflumilast,OK,2,T,0
2011,Roflumilast,OK,2,F,27
2011,Albuterol Sulfate/Ipratropium Bromide,OR,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,OR,1,F,10389
2011,Arformoterol Tartrate,OR,1,F,55
2011,Arformoterol Tartrate,OR,1,T,0
2011,Formoterol Fumarate,OR,1,F,114
2011,Formoterol Fumarate,OR,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,OR,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,OR,2,F,9884
2011,Arformoterol Tartrate,OR,2,T,0
2011,Formoterol Fumarate,OR,2,F,136
2011,Formoterol Fumarate,OR,2,T,0
2011,Roflumilast,OR,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,PA,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,PA,1,F,25894
2011,Arformoterol Tartrate,PA,1,F,490
2011,Formoterol Fumarate,PA,1,F,440
2011,Albuterol Sulfate/Ipratropium Bromide,PA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,PA,2,F,22189
2011,Arformoterol Tartrate,PA,2,F,542
2011,Formoterol Fumarate,PA,2,T,0
2011,Formoterol Fumarate,PA,2,F,284
2011,Roflumilast,PA,2,T,0
2011,Roflumilast,PA,2,F,58
2011,Albuterol Sulfate/Ipratropium Bromide,RI,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,RI,1,F,505
2011,Formoterol Fumarate,RI,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,RI,2,F,446
2011,Albuterol Sulfate/Ipratropium Bromide,RI,2,T,0
2011,Formoterol Fumarate,RI,2,T,0
2011,Roflumilast,RI,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,SC,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,SC,1,F,6205
2011,Arformoterol Tartrate,SC,1,T,0
2011,Arformoterol Tartrate,SC,1,F,23
2011,Formoterol Fumarate,SC,1,T,0
2011,Formoterol Fumarate,SC,1,F,65
2011,Albuterol Sulfate/Ipratropium Bromide,SC,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,SC,2,F,6343
2011,Arformoterol Tartrate,SC,2,T,0
2011,Arformoterol Tartrate,SC,2,F,51
2011,Formoterol Fumarate,SC,2,T,0
2011,Formoterol Fumarate,SC,2,F,71
2011,Roflumilast,SC,2,T,0
2011,Roflumilast,SC,2,F,20
2011,Albuterol Sulfate/Ipratropium Bromide,SD,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,SD,1,F,738
2011,Arformoterol Tartrate,SD,1,T,0
2011,Arformoterol Tartrate,SD,1,F,18
2011,Formoterol Fumarate,SD,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,SD,2,F,794
2011,Albuterol Sulfate/Ipratropium Bromide,SD,2,T,0
2011,Arformoterol Tartrate,SD,2,T,0
2011,Arformoterol Tartrate,SD,2,F,46
2011,Formoterol Fumarate,SD,2,T,0
2011,Roflumilast,SD,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,TN,1,F,12723
2011,Albuterol Sulfate/Ipratropium Bromide,TN,1,T,0
2011,Arformoterol Tartrate,TN,1,F,142
2011,Formoterol Fumarate,TN,1,F,558
2011,Albuterol Sulfate/Ipratropium Bromide,TN,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,TN,2,F,12858
2011,Arformoterol Tartrate,TN,2,F,200
2011,Formoterol Fumarate,TN,2,F,611
2011,Formoterol Fumarate,TN,2,T,0
2011,Roflumilast,TN,2,T,0
2011,Roflumilast,TN,2,F,23
2011,Albuterol Sulfate/Ipratropium Bromide,TX,1,F,21971
2011,Albuterol Sulfate/Ipratropium Bromide,TX,1,T,0
2011,Arformoterol Tartrate,TX,1,F,411
2011,Formoterol Fumarate,TX,1,F,1310
2011,Roflumilast,TX,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,TX,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,TX,2,F,15841
2011,Arformoterol Tartrate,TX,2,F,438
2011,Formoterol Fumarate,TX,2,F,981
2011,Roflumilast,TX,2,F,518
2011,Albuterol Sulfate/Ipratropium Bromide,UT,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,UT,1,F,2189
2011,Arformoterol Tartrate,UT,1,T,0
2011,Arformoterol Tartrate,UT,1,F,16
2011,Formoterol Fumarate,UT,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,UT,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,UT,2,F,1636
2011,Arformoterol Tartrate,UT,2,T,0
2011,Formoterol Fumarate,UT,2,T,0
2011,Roflumilast,UT,2,T,0
2011,Roflumilast,UT,2,F,36
2011,Albuterol Sulfate/Ipratropium Bromide,VA,1,F,12477
2011,Albuterol Sulfate/Ipratropium Bromide,VA,1,T,0
2011,Arformoterol Tartrate,VA,1,F,514
2011,Arformoterol Tartrate,VA,1,T,0
2011,Formoterol Fumarate,VA,1,F,466
2011,Formoterol Fumarate,VA,1,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,VA,2,T,0
2011,Albuterol Sulfate/Ipratropium Bromide,VA,2,F,13426
2011,Arformoterol Tartrate,VA,2,F,712
2011,Arformoterol Tartrate,VA,2,T,0
2011,Formoterol Fumarate,VA,2,F,432
2011,Formoterol Fumarate,VA,2,T,0
2011,Roflumilast,VA,2,T,0
2011,Roflumilast,VA,2,F,21
2011,Albuterol Sulfate/Ipratropium Bromide,VT,1,F,1975
